global_index,page,column,visual_note_id,visual_region,is_repeated,repeated_group_id,repeated_occurrences,text_preview,text,label
379,9,,,,no,,1,"WHITE FLUROPON - 12"" FLAT PANEL (1"") 24 GA.","WHITE FLUROPON - 12"" FLAT PANEL (1"") 24 GA.",
380,9,,,,yes,RN185,2,"WHITE FLUROPON - R PANEL (1.25"") 24 GA.","WHITE FLUROPON - R PANEL (1.25"") 24 GA.",
381,9,,,,no,,1,"WHITE, AF-217 PEBBLE GRAIN WHITE SW6910 DAISY B42W01181","WHITE, AF-217 PEBBLE GRAIN
WHITE
SW6910 DAISY
B42W01181",
382,9,,,,no,,1,HARDENED CONCRETE MTL WALL PANEL MTL WALL PANEL MTL WALL PANEL MTL SOFFIT PANEL MTL ROOF PANEL FIBER REINFORCED PLAST...,"HARDENED CONCRETE
MTL WALL PANEL
MTL WALL PANEL
MTL WALL PANEL
MTL SOFFIT PANEL
MTL ROOF PANEL
FIBER REINFORCED PLASTIC
POLYVINYL CHLORIDE
PAINT 5
PAINT 6",
383,9,,,,yes,RN48,3,APPLICABLE CODES:,APPLICABLE CODES:,
384,9,,,,no,,1,"W101A 3'-0"" 7'-0""","W101A
3'-0""
7'-0""",
385,9,,,,yes,RN82,2,"1 3/4"" FRP2 FRP2","1 3/4""
FRP2
FRP2",
386,9,,,,no,,2,3,3,
387,9,,,,no,,1,"3 & 12/WA3.0 3/WA3.0 SIM INSULATED, PROVIDE WEATHERSTRIPPING AROUND DOOR W101B 3'-0"" 7'-0""","3 & 12/WA3.0
3/WA3.0 SIM
INSULATED, PROVIDE
WEATHERSTRIPPING AROUND DOOR
W101B
3'-0""
7'-0""",
388,9,,,,yes,RN82,2,"1 3/4"" FRP2 FRP2","1 3/4""
FRP2
FRP2",
389,9,,,,no,,2,3,3,
390,9,,,,no,,1,"3 & 12/WA3.0 3/WA3.0 SIM INSULATED, PROVIDE WEATHERSTRIPPING AROUND DOOR W101C 16'-0"" 12'-0""","3 & 12/WA3.0
3/WA3.0 SIM
INSULATED, PROVIDE
WEATHERSTRIPPING AROUND DOOR
W101C
16'-0""
12'-0""",
391,9,,,,no,,2,"1 3/4""","1 3/4""",
392,9,,,,no,,1,"4.0 3/WA3.0 4/WA3.0 INSULATED, PROVIDE WEATHERSTRIPPING AROUND DOOR W101D 16'-0"" 12'-0""","4.0
3/WA3.0
4/WA3.0
INSULATED, PROVIDE
WEATHERSTRIPPING AROUND DOOR
W101D
16'-0""
12'-0""",
393,9,,,,no,,2,"1 3/4""","1 3/4""",
394,9,,,,no,,1,"4.0 3/WA3.0 4/WA3.0 INSULATED, PROVIDE WEATHERSTRIPPING AROUND DOOR","4.0
3/WA3.0
4/WA3.0
INSULATED, PROVIDE
WEATHERSTRIPPING AROUND DOOR",
395,9,,,,yes,RN66,3,INTERNATIONAL BUILDING CODE 2018 INTERNATIONAL FIRE CODE 2018 INTERNATIONAL FUEL GAS CODE 2018 INTERNATIONAL MECHANIC...,"INTERNATIONAL BUILDING CODE 2018
INTERNATIONAL FIRE CODE 2018
INTERNATIONAL FUEL GAS CODE 2018
INTERNATIONAL MECHANICAL CODE 2018
INTERNATIONAL PLUMBING CODE 2018
NATIONAL ELECTRICAL CODE 2017
AMERICAN WITH DISABILITIES ACT 2010",
396,9,,,,no,,4,STEEL,STEEL,
397,9,,,,no,,4,STEEL,STEEL,
398,9,,,,no,,1,"LOCATED ON ALL BOLLARDS & HOIST LETTERS ALL EXPOSED STEEL TO BE PAINTED PT6, U.N.O.","LOCATED ON ALL BOLLARDS & HOIST LETTERS
ALL EXPOSED STEEL TO BE PAINTED PT6, U.N.O.",
399,9,,,,no,,4,STEEL,STEEL,
400,9,,,,no,,4,STEEL,STEEL,
401,9,,,,yes,RN52,3,CONSTRUCTION TYPE:,CONSTRUCTION TYPE:,
402,9,,,,no,,1,"NOTE: RAKE TRIM, RIDGE CAP & GUTTERS TO MATCH RP1 / MP4,  DOWNSPOUTS TO MATCH MP1, WAINSCOT TRIM TO MATCH MP2. ALL BY...","NOTE: RAKE TRIM, RIDGE CAP & GUTTERS TO MATCH RP1 / MP4,  DOWNSPOUTS TO MATCH MP1, WAINSCOT TRIM TO MATCH MP2. ALL BY PEMB MFR.",
403,9,,,,yes,RN65,3,II-B ( SECTION 602.2) NOT SPRINKLERED,"II-B ( SECTION 602.2)
NOT SPRINKLERED",
404,9,,,,yes,RN68,3,OCCUPANCY TYPE:,OCCUPANCY TYPE:,
405,9,,,,yes,RN74,3,U (SECTION 312),U (SECTION 312),
406,9,,,,yes,RN47,3,ALLOWABLE BUILDING SIZE:,ALLOWABLE BUILDING SIZE:,
407,9,,,,yes,RN144,2,"HEIGHT (U): 55 FT STORIES (U): 2 AREA (U): 8,500 SF","HEIGHT (U):
55 FT
STORIES (U):
2
AREA (U):
8,500 SF",
408,9,,,,yes,RN46,3,ACTUAL BUILDING SIZE:,ACTUAL BUILDING SIZE:,
409,9,,,,no,,1,"HEIGHT: 20'-4"" STORIES: 1 AREA: 7,182 SF","HEIGHT:
20'-4""
STORIES:
1
AREA:
7,182 SF",
410,9,,,,yes,RN56,3,FIRE RESISTANCE RATING REQUIREMENTS (SECTION 601):,FIRE RESISTANCE RATING REQUIREMENTS (SECTION 601):,
411,9,,,,yes,RN69,3,PRIMARY STRUCTURAL FRAME: 0 HR EXTERIOR BEARING WALLS: 0 HR INTERIOR BEARING WALLS: 0 HR EXTERIOR NONBEARING WALLS & ...,"PRIMARY STRUCTURAL FRAME: 0 HR
EXTERIOR BEARING WALLS: 0 HR
INTERIOR BEARING WALLS: 0 HR
EXTERIOR NONBEARING WALLS & PARTITIONS: 0 HR
INTERIOR NONBEARING WALLS & PARTITIONS: 0 HR
FLOOR CONST. & SECONDARY MEMBERS: 0HR
ROOF CONST. & SECONDARY MEMBERS: 0HR",
412,9,,,,no,,1,9/3/2025,9/3/2025,
413,9,,,,no,,1,MONITORED FIRE ALARM REQUIRED AND IS PROVIDED.,MONITORED FIRE ALARM REQUIRED AND IS PROVIDED.,
414,9,,,,no,,18,NO.,NO.,
415,9,,,,yes,RN6,18,DESCRIPTION DATE,"DESCRIPTION
DATE",
416,9,,,,no,,23,1,1,
417,9,,,,no,,21,2,2,
418,9,,,,no,,13,3,3,
419,9,,,,no,,15,4,4,
420,9,,,,no,,6,5,5,
421,9,,,,no,,10,6,6,
422,9,,,,no,,7,7,7,
423,9,,,,yes,RN8,18,SUBMITTAL: REVISION HISTORY,"SUBMITTAL:
REVISION HISTORY",
424,9,,,,no,,23,1,1,
425,9,,,,no,,1,WA3.0 3,"WA3.0
3",
426,9,,,,no,,9,WA2.0,WA2.0,
427,9,,,,no,,1,W101A,W101A,
428,9,,,,no,,7,C C,"C
C",
429,9,,,,no,,1,W101C,W101C,
430,9,,,,no,,1,TRENCH DRAIN,TRENCH DRAIN,
431,9,,,,yes,RN17,9,SLOPE RE: STRUCT.,"SLOPE
RE: STRUCT.",
432,9,,,,yes,RN17,9,SLOPE RE: STRUCT.,"SLOPE
RE: STRUCT.",
433,9,,,,yes,RN17,9,SLOPE RE: STRUCT.,"SLOPE
RE: STRUCT.",
434,9,,,,no,,1,1 1603 SF Wash Bay,"1
1603 SF
Wash Bay",
435,9,,,,yes,RN44,3,"30'-0"" 30'-0""","30'-0""
30'-0""",
436,9,,,,no,,3,FLOOR HC2,FLOOR HC2,
437,9,,,,yes,RN1,19,CONSTRUCTION DOCUMENTS,"CONSTRUCTION
DOCUMENTS",
438,9,,,,yes,RN17,9,SLOPE RE: STRUCT.,"SLOPE
RE: STRUCT.",
439,9,,,,yes,RN17,9,SLOPE RE: STRUCT.,"SLOPE
RE: STRUCT.",
440,9,,,,yes,RN5,18,AS INDICATED,AS INDICATED,
441,9,,,,yes,RN11,16,240622 08/08/2025,"240622
08/08/2025",
442,9,,,,no,,10,6,6,
443,9,,,,yes,RN25,4,#NAME?,#NAME?,
444,9,,,,no,,9,WA2.0,WA2.0,
445,9,,,,no,,1,WA3.0 7,"WA3.0
7",
446,9,,,,no,,3,FLOOR HC2,FLOOR HC2,
447,9,,,,no,,1,WA3.0 8,"WA3.0
8",
448,9,,,,yes,RN13,15,DATE: PROJECT NO: DESIGNED BY: DRAWN BY: APPROVED BY:,"DATE:
PROJECT NO:
DESIGNED BY:
DRAWN BY:
APPROVED BY:",
449,9,,,,no,,1,WA2.0 3,"WA2.0
3",
450,9,,,,no,,7,B B,"B
B",
451,9,,,,no,,19,SCALE:,SCALE:,
452,9,,,,yes,RN17,9,SLOPE RE: STRUCT.,"SLOPE
RE: STRUCT.",
453,9,,,,yes,RN17,9,SLOPE RE: STRUCT.,"SLOPE
RE: STRUCT.",
454,9,,,,yes,RN3,19,OKLAHOMA DEPARTMENT OF TRANSPORTATION,OKLAHOMA DEPARTMENT OF TRANSPORTATION,
455,9,,,,no,,1,"CATWALKS, RE: STRUCTURAL","CATWALKS, RE: STRUCTURAL",
456,9,,,,yes,RN2,19,MAINTENANCE FACILITY,MAINTENANCE FACILITY,
457,9,,,,no,,21,2,2,
458,9,,,,no,,21,2,2,
459,9,,,,yes,RN17,9,SLOPE RE: STRUCT.,"SLOPE
RE: STRUCT.",
460,9,,,,yes,RN17,9,SLOPE RE: STRUCT.,"SLOPE
RE: STRUCT.",
461,9,,,,no,,9,WA2.0,WA2.0,
462,9,,,,no,,9,WA2.0,WA2.0,
463,9,,,,yes,RN9,17,DISTRICT 2 - BRYAN COUNTY,DISTRICT 2 - BRYAN COUNTY,
464,9,,,,no,,3,FLOOR HC2,FLOOR HC2,
465,9,,,,yes,RN10,17,"DURANT, OKLAHOMA","DURANT, OKLAHOMA",
466,9,,,,no,,1,"BOLLARDS, RE: CIVIL PAINT ALL BOLLARDS PT5","BOLLARDS, RE: CIVIL
PAINT ALL BOLLARDS
PT5",
467,9,,,,no,,2,W101D,W101D,
468,9,,,,no,,2,W101B,W101B,
469,9,,,,no,,1,A A WA3.0 12,"A
A
WA3.0
12",
470,9,,,,no,,1,WA3.0 11,"WA3.0
11",
471,9,,,,no,,1,1 WA2.0,"1
WA2.0",
472,9,,,,yes,RN103,2,"27'-0"" 18'-0"" 18'-0"" 18'-0"" 18'-0"" 18'-0""","27'-0""
18'-0""
18'-0""
18'-0""
18'-0""
18'-0""",
473,9,,,,no,,1,9/3/2025 8:32,9/3/2025 8:32,
474,9,,,,no,,23,1,1,
475,9,,,,no,,21,2,2,
476,9,,,,no,,13,3,3,
477,9,,,,no,,15,4,4,
478,9,,,,no,,6,5,5,
479,9,,,,no,,10,6,6,
480,9,,,,no,,7,7,7,
481,9,,,,no,,1,"117'-0""","117'-0""",
482,9,,,,yes,RN7,18,SHEET NAME,SHEET NAME,
483,9,,,,no,,1,FLOOR PLAN,FLOOR PLAN,
484,9,,,,no,,15,4,4,
485,9,,,,yes,RN4,19,PLOT DATE:,PLOT DATE:,
486,9,,,,yes,RN14,12,"1/8"" = 1'-0""","1/8"" = 1'-0""",
487,9,,,,no,,1,1 FLOOR PLAN,1 FLOOR PLAN,
488,9,,,,no,,5,SHEET,SHEET,
489,9,,,,no,,9,WA2.0,WA2.0,
490,9,,,,no,,1,WA1.0,WA1.0,
491,10,,,,no,,2,C A B,"C
A
B",
492,10,,,,no,,21,2,2,
493,10,,,,no,,1,WA3.0 2,"WA3.0
2",
494,10,,,,yes,RN12,16,OK CA#: 32  EXP.:,OK CA#: 32  EXP.:,
495,10,,,,yes,RN77,2,-06-30 W W W .CONNECTCEC.COM,"-06-30
W W W .CONNECTCEC.COM",
496,10,,,,no,,9,WA2.0,WA2.0,
497,10,,,,yes,RN27,4,CEC CORPORATION 2026,"CEC CORPORATION
2026",
498,10,,,,no,,13,"1'-0""","1'-0""",
499,10,,,,no,,13,"1'-0""","1'-0""",
500,10,,,,no,,5,"2""","2""",
501,10,,,,no,,5,"2""","2""",
502,10,,,,yes,RN134,2,EAVE HEIGHT,EAVE HEIGHT,
503,10,,,,no,,1,"113'-7"" WA3.0 1","113'-7""
WA3.0
1",
504,10,,,,no,,1,"20'-4""","20'-4""",
505,10,,,,no,,1,"15'-0 3/8""","15'-0 3/8""",
506,10,,,,no,,2,PVC1,PVC1,
507,10,,,,no,,4,# # # #,# # # #,
508,10,,,,yes,RN18,8,"F.F. 100'-0""","F.F.
100'-0""",
509,10,,,,no,,1,"PLASTIC PLAQUE ADDRESS SIGN, COORD. W/ OWNER","PLASTIC PLAQUE ADDRESS SIGN, COORD. W/ OWNER",
510,10,,,,no,,1,FLOOR DRAIN. RE: MECHANICAL,FLOOR DRAIN. RE: MECHANICAL,
511,10,,,,yes,RN14,12,"1/8"" = 1'-0""","1/8"" = 1'-0""",
512,10,,,,no,,1,1 SECTION,1 SECTION,
513,10,,,,no,,1,"CATWALK, RE: STRUCTURAL","CATWALK, RE: STRUCTURAL",
514,10,,,,no,,1,5 3D AXONOMETRIC VIEW,5 3D AXONOMETRIC VIEW,
515,10,,,,no,,1,RIDGE CAP,RIDGE CAP,
516,10,,,,no,,23,1,1,
517,10,,,,no,,10,6,6,
518,10,,,,yes,RN81,2,1 2 3 4 5 6 7 WA2.0,"1
2
3
4
5
6
7
WA2.0",
519,10,,,,no,,9,WA2.0,WA2.0,
520,10,,,,no,,1,ENDWALL RAKE TRIM,ENDWALL RAKE TRIM,
521,10,,,,no,,1,WA3.0 5,"WA3.0
5",
522,10,,,,no,,1,WA3.0 6,"WA3.0
6",
523,10,,,,no,,3,B,B,
524,10,,,,no,,1,"EAVE HEIGHT 113'-7"" PEMB WALL PANELS MP1","EAVE HEIGHT
113'-7""
PEMB WALL PANELS MP1",
525,10,,,,yes,RN38,3,8/8/2025,8/8/2025,
526,10,,,,no,,2,PVC1,PVC1,
527,10,,,,no,,1,MP3 OPEN TO,"MP3
OPEN TO",
528,10,,,,no,,1,OPEN TO BEYOND,"OPEN TO
BEYOND",
529,10,,,,no,,2,BEYOND,BEYOND,
530,10,,,,no,,18,NO.,NO.,
531,10,,,,yes,RN6,18,DESCRIPTION DATE,"DESCRIPTION
DATE",
532,10,,,,no,,1,PEMB RIDGE PANEL 133419.A21,"PEMB RIDGE PANEL
133419.A21",
533,10,,,,no,,1,WA3.0 9,"WA3.0
9",
534,10,,,,no,,1,METAL BUILDING ROOF PANEL 133419.A06,"METAL BUILDING ROOF PANEL
133419.A06",
535,10,,,,yes,RN18,8,"F.F. 100'-0""","F.F.
100'-0""",
536,10,,,,no,,1,WA3.0 10,"WA3.0
10",
537,10,,,,no,,1,WA3.0 10 SIM,"WA3.0
10
SIM",
538,10,,,,yes,RN8,18,SUBMITTAL: REVISION HISTORY,"SUBMITTAL:
REVISION HISTORY",
539,10,,,,yes,RN125,2,"BOLLARDS, RE: CIVIL BOLLARDS, RE: CIVIL","BOLLARDS, RE: CIVIL
BOLLARDS, RE: CIVIL",
540,10,,,,yes,RN14,12,"1/8"" = 1'-0""","1/8"" = 1'-0""",
541,10,,,,no,,1,2 SECTION,2 SECTION,
542,10,,,,no,,21,2,2,
543,10,,,,no,,2,C A B,"C
A
B",
544,10,,,,no,,1,METAL BUILDING PRIMARY STRUCTURAL FRAME 133419.A04,"METAL BUILDING PRIMARY STRUCTURAL FRAME
133419.A04",
545,10,,,,no,,9,WA2.0,WA2.0,
546,10,,,,no,,1,"15'-0"" 15'-0""","15'-0""
15'-0""",
547,10,,,,yes,RN67,3,"LIGHT FIXTURE, RE: ELEC.","LIGHT FIXTURE,
RE: ELEC.",
548,10,,,,yes,RN67,3,"LIGHT FIXTURE, RE: ELEC.","LIGHT FIXTURE,
RE: ELEC.",
549,10,,,,no,,13,"1'-0""","1'-0""",
550,10,,,,no,,13,"1'-0""","1'-0""",
551,10,,,,no,,5,"2""","2""",
552,10,,,,yes,RN134,2,EAVE HEIGHT,EAVE HEIGHT,
553,10,,,,no,,5,"2""","2""",
554,10,,,,no,,1,"113'-7""","113'-7""",
555,10,,,,yes,RN1,19,CONSTRUCTION DOCUMENTS,"CONSTRUCTION
DOCUMENTS",
556,10,,,,yes,RN135,2,"EAVE HEIGHT 113'-7""","EAVE HEIGHT
113'-7""",
557,10,,,,yes,RN5,18,AS INDICATED,AS INDICATED,
558,10,,,,yes,RN11,16,240622 08/08/2025,"240622
08/08/2025",
559,10,,,,no,,1,GENERAL NOTE,GENERAL NOTE,
560,10,,,,no,,1,CORNER TRIM,CORNER TRIM,
561,10,,,,no,,1,MP1,MP1,
562,10,,,,yes,RN25,4,#NAME?,#NAME?,
563,10,,,,no,,1,METAL BUILDING WALL PANEL 133419.A08 METAL BUILDING WALL PANEL 133419.A08,"METAL BUILDING WALL PANEL
133419.A08
METAL BUILDING WALL PANEL
133419.A08",
564,10,,,,no,,2,"12'-0""","12'-0""",
565,10,,,,no,,2,"12'-0""","12'-0""",
566,10,,,,no,,1,WAINSCOT TRIM,WAINSCOT TRIM,
567,10,,,,no,,1,"IF ANY SCREW-TYPE ANCHORAGE PENETRATES THE EXTERIOR METAL WALL OR ROOF PANELS AND MISSES THE INTENDED METAL FRAMING, ...","IF ANY SCREW-TYPE ANCHORAGE PENETRATES THE EXTERIOR METAL WALL OR
ROOF PANELS AND MISSES THE INTENDED METAL FRAMING, THE SCREW SHOULD
BE LEFT IN PLACE OR PATCHED TO AVOID LEAVING A HOLE IN THE EXTERIOR
SHEATHING. IF ANY HOLE CANNOT BE SUFFICIENTLY PATCHED TO ENSURE
PERMANENT WEATHERTIGHTNESS, THE METAL PANEL SHALL BE REPLACED.",
568,10,,,,no,,4,"2'-4 1/4""","2'-4 1/4""",
569,10,,,,yes,RN53,3,DATE: PROJECT NO: DESIGNED BY: DRAW N BY: APPROVED BY:,"DATE:
PROJECT NO:
DESIGNED BY:
DRAW N BY:
APPROVED BY:",
570,10,,,,no,,1,"2'-2 1/2""","2'-2 1/2""",
571,10,,,,no,,4,"2'-4 1/4""","2'-4 1/4""",
572,10,,,,no,,1,MP2,MP2,
573,10,,,,no,,19,SCALE:,SCALE:,
574,10,,,,yes,RN18,8,"F.F. 100'-0""","F.F.
100'-0""",
575,10,,,,yes,RN18,8,"F.F. 100'-0""","F.F.
100'-0""",
576,10,,,,yes,RN14,12,"1/8"" = 1'-0""","1/8"" = 1'-0""",
577,10,,,,yes,RN105,2,3 ELEVATION,3 ELEVATION,
578,10,,,,yes,RN3,19,OKLAHOMA DEPARTMENT OF TRANSPORTATION,OKLAHOMA DEPARTMENT OF TRANSPORTATION,
579,10,,,,no,,1,Z-GIRT 133419.A17,"Z-GIRT
133419.A17",
580,10,,,,yes,RN2,19,MAINTENANCE FACILITY,MAINTENANCE FACILITY,
581,10,,,,yes,RN9,17,DISTRICT 2 - BRYAN COUNTY,DISTRICT 2 - BRYAN COUNTY,
582,10,,,,yes,RN10,17,"DURANT, OKLAHOMA","DURANT, OKLAHOMA",
583,10,,,,no,,23,1,1,
584,10,,,,no,,10,6,6,
585,10,,,,yes,RN81,2,1 2 3 4 5 6 7 WA2.0,"1
2
3
4
5
6
7
WA2.0",
586,10,,,,no,,9,WA2.0,WA2.0,
587,10,,,,no,,1,MP4,MP4,
588,10,,,,yes,RN67,3,"LIGHT FIXTURE, RE: ELEC.","LIGHT FIXTURE,
RE: ELEC.",
589,10,,,,no,,1,"BOLLARDS, RE: CIVIL, PAINT ALL BOLLARDS PT5","BOLLARDS, RE: CIVIL, PAINT
ALL BOLLARDS PT5",
590,10,,,,no,,1,MP3,MP3,
591,10,,,,yes,RN135,2,"EAVE HEIGHT 113'-7""","EAVE HEIGHT
113'-7""",
592,10,,,,no,,1,"1 2 ""","1 2 """,
593,10,,,,no,,4,# # # #,# # # #,
594,10,,,,no,,1,BEYOND OPEN TO,"BEYOND
OPEN TO",
595,10,,,,no,,1,OPEN TO,OPEN TO,
596,10,,,,yes,RN18,8,"F.F. 100'-0""","F.F.
100'-0""",
597,10,,,,no,,1,PLASTIC PLAQUE ADDRESS,PLASTIC PLAQUE ADDRESS,
598,10,,,,no,,2,BEYOND,BEYOND,
599,10,,,,no,,1,"SIGN, COORD. W/ OWNER","SIGN, COORD. W/ OWNER",
600,10,,,,no,,4,"2'-4 1/4""","2'-4 1/4""",
601,10,,,,no,,1,8/1/2025 16:09,8/1/2025 16:09,
602,10,,,,no,,2,W101D,W101D,
603,10,,,,no,,2,W101B,W101B,
604,10,,,,no,,4,"2'-4 1/4""","2'-4 1/4""",
605,10,,,,yes,RN18,8,"F.F. 100'-0""","F.F.
100'-0""",
606,10,,,,yes,RN7,18,SHEET NAME,SHEET NAME,
607,10,,,,no,,1,ELEVATIONS & SECTIONS,"ELEVATIONS &
SECTIONS",
608,10,,,,yes,RN125,2,"BOLLARDS, RE: CIVIL BOLLARDS, RE: CIVIL","BOLLARDS, RE: CIVIL
BOLLARDS, RE: CIVIL",
609,10,,,,yes,RN4,19,PLOT DATE:,PLOT DATE:,
610,10,,,,yes,RN89,2,"1/2"" = 1'-0""","1/2"" = 1'-0""",
611,10,,,,no,,1,6 WS - INTERIOR PARTITION,6 WS - INTERIOR PARTITION,
612,10,,,,yes,RN14,12,"1/8"" = 1'-0""","1/8"" = 1'-0""",
613,10,,,,no,,1,4 ELEVATION,4 ELEVATION,
614,10,,,,no,,1,SHEET WA2.0,"SHEET
WA2.0",
615,12,,,,no,,1,2 3 4 5 6 7,"2
3
4
5
6
7",
616,12,,,,no,,23,1,1,
617,12,,,,yes,RN12,16,OK CA#: 32  EXP.:,OK CA#: 32  EXP.:,
618,12,,,,yes,RN20,7,-06-30 WWW.CONNECTCEC.COM CEC CORPORATION 2026,"-06-30
WWW.CONNECTCEC.COM
CEC CORPORATION
2026",
619,12,,,,no,,1,"119'-0"" O. TO O. OF SLAB","119'-0"" O. TO O. OF SLAB",
620,12,,,,yes,RN103,2,"27'-0"" 18'-0"" 18'-0"" 18'-0"" 18'-0"" 18'-0""","27'-0""
18'-0""
18'-0""
18'-0""
18'-0""
18'-0""",
621,12,,,,no,,3,SIM,SIM,
622,12,,,,yes,RN109,2,"4"" 3'-4"" 1'-10"" 16'-0"" 5'-6""","4""
3'-4""
1'-10""
16'-0""
5'-6""",
623,12,,,,no,,13,3,3,
624,12,,,,no,,15,4,4,
625,12,,,,yes,RN31,4,WS2.0 ________,"WS2.0
________",
626,12,,,,no,,1,________,________,
627,12,,,,no,,1,"5'-3 1/4"" 5'-3 1/4""","5'-3 1/4""
5'-3 1/4""",
628,12,,,,no,,3,WS2.0,WS2.0,
629,12,,,,no,,1,5 WS2.0 ________,"5
WS2.0
________",
630,12,,,,no,,1,"1'-7"" 1'-11""","1'-7""
1'-11""",
631,12,,,,no,,22,F3.5,F3.5,
632,12,,,,no,,1,F3.5 F5.0 F5.0 F5.0 F5.0 F5.0,"F3.5
F5.0
F5.0
F5.0
F5.0
F5.0",
633,12,,,,no,,1,"2'-0"" 2'-9 1/2""","2'-0""
2'-9 1/2""",
634,12,,,,no,,7,C C,"C
C",
635,12,,,,yes,RN178,2,"T.O. SLAB 99'-8 1/4""","T.O. SLAB
99'-8 1/4""",
636,12,,,,yes,RN163,2,REFER PLAN NOTE #12,"REFER PLAN
NOTE #12",
637,12,,,,yes,RN178,2,"T.O. SLAB 99'-8 1/4""","T.O. SLAB
99'-8 1/4""",
638,12,,,,no,,1,"6""Ø BOLLARD, TYP REFER CIVIL","6""Ø BOLLARD, TYP
REFER CIVIL",
639,12,,,,no,,1,SIM 1 ________,"SIM
1
________",
640,12,,,,no,,11,SLOPE DN,"SLOPE
DN",
641,12,,,,no,,11,SLOPE DN,"SLOPE
DN",
642,12,,,,no,,3,WS2.0,WS2.0,
643,12,,,,yes,RN41,3,"11"" CURB, TYP","11"" CURB, TYP",
644,12,,,,no,,1,"(2) #4x40'-0"" HAIRPINS LOCATED AT EXTERIOR OF ANCHOR RODS, REFER /","(2) #4x40'-0"" HAIRPINS
LOCATED AT EXTERIOR OF
ANCHOR RODS, REFER
/",
645,12,,,,no,,1,6 S3.0,6 S3.0,
646,12,,,,no,,11,SLOPE DN,"SLOPE
DN",
647,12,,,,no,,1,SIM 2,"SIM
2",
648,12,,,,yes,RN44,3,"30'-0"" 30'-0""","30'-0""
30'-0""",
649,12,,,,yes,RN44,3,"30'-0"" 30'-0""","30'-0""
30'-0""",
650,12,,,,yes,RN188,2,________ WS2.0,"________
WS2.0",
651,12,,,,no,,1,"6"" CONCRETE SLAB-ON-GRADE (OWNER SPECIFIED) W/ #4 @ 12"" O.C. EA WAY @ MID DEPTH OF SLAB, OVER VAPOR BARRIER, OVER 4"" ...","6"" CONCRETE SLAB-ON-GRADE (OWNER
SPECIFIED) W/ #4 @ 12"" O.C. EA WAY @ MID
DEPTH OF SLAB, OVER VAPOR BARRIER,
OVER 4"" CRUSHED STONE, OVER 30"" LOW
VOLUME CHANGE FILL, REFER GEOTECH
REPORT.",
652,12,,,,no,,1,FINISHED FLOOR ELEVATION VARIES,FINISHED FLOOR ELEVATION VARIES,
653,12,,,,yes,RN15,10,8/8/2025,8/8/2025,
654,12,,,,no,,1,CATWALK POST SPACING,CATWALK POST SPACING,
655,12,,,,no,,1,"3'-0"" 2'-3""","3'-0""
2'-3""",
656,12,,,,no,,1,"16'-6"" 2'-3"" 3'-0""","16'-6""
2'-3""
3'-0""",
657,12,,,,yes,RN41,3,"11"" CURB, TYP","11"" CURB, TYP",
658,12,,,,no,,1,MINIMUM CLEAR WIDTH,MINIMUM CLEAR WIDTH,
659,12,,,,no,,21,2,2,
660,12,,,,no,,1,"3'-3 1/2""","3'-3 1/2""",
661,12,,,,yes,RN31,4,WS2.0 ________,"WS2.0
________",
662,12,,,,yes,RN177,2,"T.O. SLAB 100'-0""","T.O. SLAB
100'-0""",
663,12,,,,no,,1,"9'-0"" TYP","9'-0"" TYP",
664,12,,,,yes,RN41,3,"11"" CURB, TYP","11"" CURB, TYP",
665,12,,,,no,,2,F5.0,F5.0,
666,12,,,,no,,18,NO.,NO.,
667,12,,,,yes,RN6,18,DESCRIPTION DATE,"DESCRIPTION
DATE",
668,12,,,,no,,1,"60'-0"" O. TO O. OF SLAB","60'-0"" O. TO O. OF SLAB",
669,12,,,,yes,RN177,2,"T.O. SLAB 100'-0""","T.O. SLAB
100'-0""",
670,12,,,,no,,1,"7'-6 3/4"" 8'-7 3/4"" 8'-8"" 5'-1 1/2"" 3'-6 1/4""","7'-6 3/4""
8'-7 3/4""
8'-8""
5'-1 1/2""
3'-6 1/4""",
671,12,,,,no,,7,B B,"B
B",
672,12,,,,yes,RN8,18,SUBMITTAL: REVISION HISTORY,"SUBMITTAL:
REVISION HISTORY",
673,12,,,,no,,1,EWC,EWC,
674,12,,,,no,,1,F6.5 F6.5 F6.5 F6.5 F6.5 F5.0,"F6.5
F6.5
F6.5
F6.5
F6.5
F5.0",
675,12,,,,no,,1,"BUILT-UP CATWALK, REFER WS3.0","BUILT-UP CATWALK,
REFER WS3.0",
676,12,,,,no,,1,ALL INTERIOR COLUMNS SHALL BEAR AT TOP OF SLAB. CURB IS INTERRUPTED AT EA COLUMN,"ALL INTERIOR COLUMNS SHALL
BEAR AT TOP OF SLAB. CURB IS
INTERRUPTED AT EA COLUMN",
677,12,,,,no,,1,@ FTG SIM,"@ FTG
SIM",
678,12,,,,no,,11,SLOPE DN,"SLOPE
DN",
679,12,,,,no,,1,4 ________ WS2.0,"4
________
WS2.0",
680,12,,,,no,,1,SLOPE DN SLOPE DN,"SLOPE
DN
SLOPE
DN",
681,12,,,,no,,23,1,1,
682,12,,,,yes,RN163,2,REFER PLAN NOTE #12,"REFER PLAN
NOTE #12",
683,12,,,,yes,RN31,4,WS2.0 ________,"WS2.0
________",
684,12,,,,yes,RN1,19,CONSTRUCTION DOCUMENTS,"CONSTRUCTION
DOCUMENTS",
685,12,,,,no,,11,SLOPE DN,"SLOPE
DN",
